number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
24,0.8139065378100634,2026-03-29 19:00:21.001047,2026-03-29 19:00:21.316441,0 days 00:00:00.315394,0.7713090962983292,0.08559333527525893,5,139,0.779221109938711,COMPLETE
25,0.8138589326367045,2026-03-29 19:00:21.316701,2026-03-29 19:00:21.626495,0 days 00:00:00.309794,0.9256987058858337,0.05912052677683981,6,118,0.7579661287111341,COMPLETE
26,0.813866833910291,2026-03-29 19:00:21.626757,2026-03-29 19:00:22.004419,0 days 00:00:00.377662,0.8081349939225787,0.026855169717792893,6,144,0.7304627002446773,COMPLETE
27,0.8138312781791515,2026-03-29 19:00:22.004678,2026-03-29 19:00:22.266496,0 days 00:00:00.261818,0.7268551011604166,0.08115645233748402,5,117,0.9202098222533648,COMPLETE
28,0.8144504417305765,2026-03-29 19:00:22.266745,2026-03-29 19:00:22.704529,0 days 00:00:00.437784,0.8849132091479436,0.04036155863415667,6,169,0.7922050709618903,COMPLETE
29,0.8137472283813747,2026-03-29 19:00:22.704794,2026-03-29 19:00:23.131337,0 days 00:00:00.426543,0.9325684837502812,0.049286735530840245,6,164,0.7638001376565885,COMPLETE
30,0.8151850626422847,2026-03-29 19:00:23.131609,2026-03-29 19:00:23.399856,0 days 00:00:00.268247,0.8446623387466841,0.06366512282578492,5,116,0.7264844162648604,COMPLETE
31,0.8150932103368411,2026-03-29 19:00:23.400124,2026-03-29 19:00:23.630337,0 days 00:00:00.230213,0.8473512080450591,0.06208740735484057,5,101,0.7217856503420477,COMPLETE
32,0.8154165699583702,2026-03-29 19:00:23.630605,2026-03-29 19:00:23.921415,0 days 00:00:00.290810,0.8396273498276867,0.060082162431665066,5,128,0.7185587695167228,COMPLETE
33,0.8141969096143684,2026-03-29 19:00:23.921670,2026-03-29 19:00:24.213066,0 days 00:00:00.291396,0.8425495827126598,0.08179006369487767,5,131,0.7192357646441495,COMPLETE
34,0.814518195151581,2026-03-29 19:00:24.213347,2026-03-29 19:00:24.482506,0 days 00:00:00.269159,0.8557769787536769,0.0646575510685521,4,134,0.7006125561646103,COMPLETE
35,0.8137088084385602,2026-03-29 19:00:24.482787,2026-03-29 19:00:24.753497,0 days 00:00:00.270710,0.8183349292716899,0.03806539890820025,5,119,0.7231955327469753,COMPLETE
36,0.813657845223927,2026-03-29 19:00:24.753755,2026-03-29 19:00:25.060551,0 days 00:00:00.306796,0.8278070945897873,0.047597428000611154,5,128,0.8159385803227759,COMPLETE
37,0.8114757109911654,2026-03-29 19:00:25.060825,2026-03-29 19:00:25.437227,0 days 00:00:00.376402,0.7904953227062157,0.02675502620544607,4,201,0.7207247448873842,COMPLETE
38,0.814264663035373,2026-03-29 19:00:25.437495,2026-03-29 19:00:25.689190,0 days 00:00:00.251695,0.8524849790856414,0.08014135995954712,5,112,0.7761675445987067,COMPLETE
