number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
41,0.9112314628714215,2026-04-05 12:37:16.021275,2026-04-05 12:37:16.473447,0 days 00:00:00.452172,0.9439180571777689,0.029625421697106226,5,195,0.7117124251121987,COMPLETE
42,0.9116303784216218,2026-04-05 12:37:16.473718,2026-04-05 12:37:16.974534,0 days 00:00:00.500816,0.9221201395958222,0.03591732243298768,5,217,0.7007476925190395,COMPLETE
43,0.9115692423172461,2026-04-05 12:37:16.974818,2026-04-05 12:37:17.465318,0 days 00:00:00.490500,0.9616119718438625,0.04542344227358911,5,204,0.7291959121281115,COMPLETE
44,0.9111651909392146,2026-04-05 12:37:17.465595,2026-04-05 12:37:17.911070,0 days 00:00:00.445475,0.8374378229645436,0.047202648626265345,5,183,0.7452984323772206,COMPLETE
45,0.9113478091249834,2026-04-05 12:37:17.911363,2026-04-05 12:37:18.356709,0 days 00:00:00.445346,0.9768581455946831,0.05649873729096534,4,226,0.7133173209896637,COMPLETE
46,0.9089200440496001,2026-04-05 12:37:18.356974,2026-04-05 12:37:18.666255,0 days 00:00:00.309281,0.8797740579222215,0.032244144629715,5,132,0.8946886893685754,COMPLETE
47,0.9108402510629683,2026-04-05 12:37:18.666525,2026-04-05 12:37:19.200634,0 days 00:00:00.534109,0.7874429261914294,0.02413133972564163,5,236,0.7760487027223786,COMPLETE
48,0.9101517538358214,2026-04-05 12:37:19.200910,2026-04-05 12:37:19.764563,0 days 00:00:00.563653,0.9272184952514155,0.017781386545234108,5,246,0.7474009491670993,COMPLETE
49,0.910465434397207,2026-04-05 12:37:19.764820,2026-04-05 12:37:20.175595,0 days 00:00:00.410775,0.8966008305761382,0.03686844091399403,4,212,0.7617555273934516,COMPLETE
50,0.9115857362258579,2026-04-05 12:37:20.175880,2026-04-05 12:37:20.820725,0 days 00:00:00.644845,0.7510703040726703,0.04166388130782747,5,287,0.8622008396955351,COMPLETE
51,0.9089318959599801,2026-04-05 12:37:20.820996,2026-04-05 12:37:21.108380,0 days 00:00:00.287384,0.7127094500183307,0.056147704541202464,3,170,0.7345729036103089,COMPLETE
52,0.9111214376367291,2026-04-05 12:37:21.108635,2026-04-05 12:37:21.532235,0 days 00:00:00.423600,0.7181513052253714,0.06699425295157868,6,162,0.7132329896001546,COMPLETE
53,0.9113188707104726,2026-04-05 12:37:21.532513,2026-04-05 12:37:22.043341,0 days 00:00:00.510828,0.8534112254369983,0.052054549403889136,6,195,0.7004544336132329,COMPLETE
54,0.9108385720423311,2026-04-05 12:37:22.043611,2026-04-05 12:37:22.436448,0 days 00:00:00.392837,0.7227939593020508,0.07880308227752716,5,177,0.930474124072663,COMPLETE
55,0.9098137768581572,2026-04-05 12:37:22.436719,2026-04-05 12:37:22.834050,0 days 00:00:00.397331,0.8205463659562059,0.09148331435815368,6,153,0.7435893558369405,COMPLETE
56,0.9113635129062365,2026-04-05 12:37:22.834324,2026-04-05 12:37:23.259580,0 days 00:00:00.425256,0.9323322591373914,0.04041998337825238,5,186,0.7264519677914275,COMPLETE
57,0.910778818660833,2026-04-05 12:37:23.259852,2026-04-05 12:37:23.600421,0 days 00:00:00.340569,0.9071782726817326,0.04714287409383349,5,148,0.7575575680634035,COMPLETE
58,0.9101035560669436,2026-04-05 12:37:23.600687,2026-04-05 12:37:24.323237,0 days 00:00:00.722550,0.8811694443754587,0.060987230583495214,6,225,0.787775767659703,COMPLETE
59,0.9112010429681134,2026-04-05 12:37:24.323508,2026-04-05 12:37:24.798010,0 days 00:00:00.474502,0.7783529735339356,0.03400376524452717,5,203,0.8177009223441182,COMPLETE
60,0.9096714551676799,2026-04-05 12:37:24.798300,2026-04-05 12:37:25.111889,0 days 00:00:00.313589,0.9593780907602414,0.055604282392563265,3,192,0.7076624420343097,COMPLETE
61,0.9117694408367448,2026-04-05 12:37:25.112163,2026-04-05 12:37:25.608034,0 days 00:00:00.495871,0.9204533934297364,0.030870361168865382,5,219,0.7021780266625485,COMPLETE
62,0.9104035081654724,2026-04-05 12:37:25.608307,2026-04-05 12:37:26.009687,0 days 00:00:00.401380,0.9515034572409502,0.030715710100047304,5,177,0.7245694321423951,COMPLETE
63,0.9110730423360115,2026-04-05 12:37:26.009972,2026-04-05 12:37:26.478340,0 days 00:00:00.468368,0.9753385391713931,0.025446593538395467,5,207,0.7074070592769741,COMPLETE
64,0.9106156573612709,2026-04-05 12:37:26.478611,2026-04-05 12:37:26.997554,0 days 00:00:00.518943,0.7132167179691127,0.021668701816039727,5,230,0.7407878394441194,COMPLETE
65,0.9105380273482833,2026-04-05 12:37:26.997836,2026-04-05 12:37:27.371790,0 days 00:00:00.373954,0.9869968204570994,0.03389574175035567,5,164,0.7198924706916795,COMPLETE
66,0.9110180297186652,2026-04-05 12:37:27.372055,2026-04-05 12:37:27.791655,0 days 00:00:00.419600,0.9336454626456627,0.04356276358966042,4,218,0.7315690597645851,COMPLETE
67,0.9114016365512916,2026-04-05 12:37:27.791927,2026-04-05 12:37:28.385102,0 days 00:00:00.593175,0.7388763981163406,0.02887839099869334,5,266,0.751944788107501,COMPLETE
68,0.9110190173778636,2026-04-05 12:37:28.385369,2026-04-05 12:37:28.904346,0 days 00:00:00.518977,0.705378159610127,0.03838708983368568,6,200,0.9917707395645003,COMPLETE
69,0.9117955150395803,2026-04-05 12:37:28.904620,2026-04-05 12:37:29.459045,0 days 00:00:00.554425,0.7279111946632029,0.04923091238625785,5,240,0.7082454756434374,COMPLETE
70,0.9116071684304613,2026-04-05 12:37:29.459330,2026-04-05 12:37:30.004098,0 days 00:00:00.544768,0.8900648957708702,0.050516296676576346,5,242,0.7091109414561791,COMPLETE
71,0.9117812927471247,2026-04-05 12:37:30.004360,2026-04-05 12:37:30.579326,0 days 00:00:00.574966,0.7317899734600927,0.04677432450682159,5,257,0.719204037945237,COMPLETE
72,0.9117583790537238,2026-04-05 12:37:30.579599,2026-04-05 12:37:31.183869,0 days 00:00:00.604270,0.7258911160482929,0.04592596152790723,5,268,0.7197165488358357,COMPLETE
73,0.9116766008721031,2026-04-05 12:37:31.184147,2026-04-05 12:37:31.783742,0 days 00:00:00.599595,0.7324588582459903,0.046093597888724615,5,266,0.7210242209799944,COMPLETE
74,0.9114574392959965,2026-04-05 12:37:31.784023,2026-04-05 12:37:32.357976,0 days 00:00:00.573953,0.7445297164284581,0.04184736164962824,5,256,0.7149563198482412,COMPLETE
75,0.9116848972093688,2026-04-05 12:37:32.358251,2026-04-05 12:37:32.974719,0 days 00:00:00.616468,0.7254395491788034,0.047177473837019965,5,275,0.7333023225978152,COMPLETE
76,0.9117320085531286,2026-04-05 12:37:32.974985,2026-04-05 12:37:33.533600,0 days 00:00:00.558615,0.7535192378765272,0.03728003940162076,5,250,0.7070472271551275,COMPLETE
77,0.911582773248263,2026-04-05 12:37:33.533865,2026-04-05 12:37:34.114515,0 days 00:00:00.580650,0.7526785265851751,0.03934201766766101,5,257,0.7086614215495525,COMPLETE
78,0.9115443533054485,2026-04-05 12:37:34.114779,2026-04-05 12:37:34.718859,0 days 00:00:00.604080,0.758563033558399,0.036414879776550446,5,274,0.7014571386138468,COMPLETE
79,0.9114523034681653,2026-04-05 12:37:34.719132,2026-04-05 12:37:35.284968,0 days 00:00:00.565836,0.7344877970975179,0.032278287743669705,5,251,0.7259138889935056,COMPLETE
80,0.9104671134178441,2026-04-05 12:37:35.285237,2026-04-05 12:37:35.827162,0 days 00:00:00.541925,0.9140663487441517,0.0267579773033578,5,240,0.969283673397111,COMPLETE
81,0.9117715149210615,2026-04-05 12:37:35.827435,2026-04-05 12:37:36.414245,0 days 00:00:00.586810,0.7138561904828312,0.0533027118700455,5,262,0.7205367517675231,COMPLETE
82,0.9114343280707559,2026-04-05 12:37:36.414524,2026-04-05 12:37:37.036299,0 days 00:00:00.621775,0.7135799567110157,0.04415149929530531,5,279,0.7160896086952989,COMPLETE
83,0.9116922058874365,2026-04-05 12:37:37.036568,2026-04-05 12:37:37.629850,0 days 00:00:00.593282,0.7257183115524546,0.051588462360306495,5,264,0.7396244678236783,COMPLETE
84,0.9113651919268737,2026-04-05 12:37:37.630129,2026-04-05 12:37:38.187110,0 days 00:00:00.556981,0.7468439356007815,0.048749839036462995,5,251,0.7056146742468702,COMPLETE
85,0.9117402061244747,2026-04-05 12:37:38.187371,2026-04-05 12:37:38.787211,0 days 00:00:00.599840,0.7167732899214979,0.03793909418164956,5,259,0.7315517078474453,COMPLETE
86,0.9117513666734155,2026-04-05 12:37:38.787490,2026-04-05 12:37:39.369167,0 days 00:00:00.581677,0.7182865283676064,0.041711136601958035,5,259,0.7716360753433783,COMPLETE
87,0.9117284529800147,2026-04-05 12:37:39.369446,2026-04-05 12:37:40.003614,0 days 00:00:00.634168,0.951842799156475,0.041983549872062424,5,284,0.7706923381785113,COMPLETE
88,0.9114566491686378,2026-04-05 12:37:40.003884,2026-04-05 12:37:40.611566,0 days 00:00:00.607682,0.7106054898502925,0.06311651351944729,5,272,0.7495215838815433,COMPLETE
89,0.9114068711450427,2026-04-05 12:37:40.611838,2026-04-05 12:37:41.129357,0 days 00:00:00.517519,0.7667841376448049,0.0448478524345457,5,229,0.7209159024025672,COMPLETE
90,0.9111136351290624,2026-04-05 12:37:41.129637,2026-04-05 12:37:41.794107,0 days 00:00:00.664470,0.7014800578120771,0.058189302299932515,5,300,0.742601278890058,COMPLETE
91,0.9114844023921106,2026-04-05 12:37:41.794383,2026-04-05 12:37:42.375513,0 days 00:00:00.581130,0.7223631895966728,0.0530937977848482,5,258,0.7330348575158251,COMPLETE
92,0.9116721564057106,2026-04-05 12:37:42.375794,2026-04-05 12:37:42.917838,0 days 00:00:00.542044,0.7189640882739035,0.0353262805445309,5,241,0.7286059972552218,COMPLETE
93,0.9115690447854065,2026-04-05 12:37:42.918099,2026-04-05 12:37:43.416328,0 days 00:00:00.498229,0.7309963391333392,0.04013831298721298,5,221,0.7570679563687649,COMPLETE
94,0.9115006987688828,2026-04-05 12:37:43.416573,2026-04-05 12:37:43.972889,0 days 00:00:00.556316,0.7375612008241037,0.049192986404541394,5,246,0.71508668465106,COMPLETE
95,0.9113342781939664,2026-04-05 12:37:43.973166,2026-04-05 12:37:44.560028,0 days 00:00:00.586862,0.710949107264475,0.030684952534885873,5,261,0.7360469394510101,COMPLETE
96,0.9113683524363082,2026-04-05 12:37:44.560301,2026-04-05 12:37:45.043068,0 days 00:00:00.482767,0.7182243470399545,0.034708185160131945,5,213,0.7001280967077742,COMPLETE
97,0.911587415246495,2026-04-05 12:37:45.043354,2026-04-05 12:37:45.651857,0 days 00:00:00.608503,0.7003335055157015,0.042514515472463155,5,269,0.7244879521278622,COMPLETE
98,0.9117366505513609,2026-04-05 12:37:45.652124,2026-04-05 12:37:46.220103,0 days 00:00:00.567979,0.727402720320693,0.0535813320136,5,254,0.7119867955175,COMPLETE
99,0.9117269714912171,2026-04-05 12:37:46.220366,2026-04-05 12:37:46.846159,0 days 00:00:00.625793,0.935052193858297,0.03851513552486321,5,278,0.7659392978164786,COMPLETE
