number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
19,0.8446100841066025,2026-04-04 10:37:23.905675,2026-04-04 10:37:24.471085,0 days 00:00:00.565410,0.7449768477099585,0.062322571441864996,5,259,0.7863272813123042,COMPLETE
20,0.8419117242577338,2026-04-04 10:37:24.471365,2026-04-04 10:37:25.036996,0 days 00:00:00.565631,0.7284918108351283,0.09157107186985987,5,265,0.7939331708862389,COMPLETE
21,0.8441280273310268,2026-04-04 10:37:25.037263,2026-04-04 10:37:25.631119,0 days 00:00:00.593856,0.7850740722093508,0.06295622637867052,5,276,0.8444969110488123,COMPLETE
22,0.8450569637661229,2026-04-04 10:37:25.631394,2026-04-04 10:37:26.235517,0 days 00:00:00.604123,0.7950378489630814,0.06448402852112294,5,280,0.8228302318158197,COMPLETE
23,0.8441180387672086,2026-04-04 10:37:26.235814,2026-04-04 10:37:26.845477,0 days 00:00:00.609663,0.774783107324392,0.06503513310054983,5,278,0.8250398986327794,COMPLETE
24,0.8441595854022207,2026-04-04 10:37:26.845780,2026-04-04 10:37:27.386676,0 days 00:00:00.540896,0.8528278630760641,0.07855607938220228,5,247,0.855250448888086,COMPLETE
25,0.8452749750285904,2026-04-04 10:37:27.387014,2026-04-04 10:37:27.858225,0 days 00:00:00.471211,0.8571328966905775,0.08092752518242011,4,247,0.7414279165485519,COMPLETE
26,0.8444107471156213,2026-04-04 10:37:27.858498,2026-04-04 10:37:28.317331,0 days 00:00:00.458833,0.8680617960343845,0.05692337204645914,4,244,0.7399253779224186,COMPLETE
27,0.8434996163812446,2026-04-04 10:37:28.317604,2026-04-04 10:37:28.828915,0 days 00:00:00.511311,0.811808415681118,0.08558700115661026,4,278,0.7085383335474436,COMPLETE
28,0.8440662140447892,2026-04-04 10:37:28.829203,2026-04-04 10:37:29.286279,0 days 00:00:00.457076,0.7300546526168109,0.042776715304571875,4,244,0.8040113278433667,COMPLETE
29,0.8445540612921438,2026-04-04 10:37:29.286548,2026-04-04 10:37:29.677913,0 days 00:00:00.391365,0.9325684837502812,0.055101467363802344,4,210,0.7459871265586422,COMPLETE
30,0.8451506246471431,2026-04-04 10:37:29.678182,2026-04-04 10:37:30.193167,0 days 00:00:00.514985,0.8386773403164142,0.04039138343599774,5,230,0.7263007221913841,COMPLETE
31,0.8447780077881846,2026-04-04 10:37:30.193450,2026-04-04 10:37:30.686088,0 days 00:00:00.492638,0.8466235772278634,0.03692663193020255,5,232,0.7274987409320035,COMPLETE
32,0.8451866703339654,2026-04-04 10:37:30.686377,2026-04-04 10:37:31.205478,0 days 00:00:00.519101,0.8555812094832366,0.040403008896576546,5,232,0.7245889765625714,COMPLETE
33,0.8440623054763388,2026-04-04 10:37:31.205741,2026-04-04 10:37:31.704193,0 days 00:00:00.498452,0.8797577506076041,0.02615810676603142,5,224,0.7592954116781799,COMPLETE
34,0.8408141403320836,2026-04-04 10:37:31.704471,2026-04-04 10:37:32.210256,0 days 00:00:00.505785,0.8552129627825666,0.07458797200453457,6,205,0.7221438987094896,COMPLETE
35,0.8431912737590295,2026-04-04 10:37:32.210515,2026-04-04 10:37:32.568101,0 days 00:00:00.357586,0.9107958791478299,0.038317377622030004,4,194,0.7051839259818099,COMPLETE
36,0.8447496344764689,2026-04-04 10:37:32.568370,2026-04-04 10:37:33.113319,0 days 00:00:00.544949,0.8269277822394956,0.0290946591422454,5,251,0.7676173057723954,COMPLETE
37,0.8428122873811144,2026-04-04 10:37:33.113629,2026-04-04 10:37:33.471658,0 days 00:00:00.358029,0.9085976911305563,0.05361172678845919,3,232,0.740134387371811,COMPLETE
38,0.8453531463976027,2026-04-04 10:37:33.471915,2026-04-04 10:37:33.956755,0 days 00:00:00.484840,0.8439132073229891,0.07085773807033342,4,272,0.8164025342031365,COMPLETE
39,0.8434777573502801,2026-04-04 10:37:33.957021,2026-04-04 10:37:34.436818,0 days 00:00:00.479797,0.8394279685302197,0.08006982592171523,4,267,0.7238094036669607,COMPLETE
40,0.8404186511095992,2026-04-04 10:37:34.437087,2026-04-04 10:37:34.766629,0 days 00:00:00.329542,0.8601624375492516,0.039546919182644885,3,217,0.7579184428725919,COMPLETE
41,0.8453932454146702,2026-04-04 10:37:34.766895,2026-04-04 10:37:35.256322,0 days 00:00:00.489427,0.7958810377563806,0.07216950577254207,4,272,0.811798534530262,COMPLETE
42,0.8451481636966371,2026-04-04 10:37:35.256602,2026-04-04 10:37:35.687326,0 days 00:00:00.430724,0.8226569832686292,0.0904489676959572,4,238,0.8132784130646323,COMPLETE
43,0.8446524993123814,2026-04-04 10:37:35.687610,2026-04-04 10:37:36.147375,0 days 00:00:00.459765,0.8351108565196448,0.049902068159564265,4,254,0.7798927572380572,COMPLETE
44,0.8451475846494594,2026-04-04 10:37:36.147658,2026-04-04 10:37:36.636765,0 days 00:00:00.489107,0.8785353611781194,0.07304452582426745,4,271,0.8816310540725777,COMPLETE
45,0.8423462991647244,2026-04-04 10:37:36.637040,2026-04-04 10:37:36.972560,0 days 00:00:00.335520,0.768029619854021,0.059020754496289685,3,222,0.7145027807811029,COMPLETE
