number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
12,0.8489287627209428,2026-04-04 10:38:07.619746,2026-04-04 10:38:07.873588,0 days 00:00:00.253842,0.7473104053082921,0.05677584747478693,6,102,0.785056912410558,COMPLETE
13,0.8548162249019239,2026-04-04 10:38:07.873876,2026-04-04 10:38:08.236707,0 days 00:00:00.362831,0.8029086188784056,0.052797637770778956,5,167,0.9361665076233798,COMPLETE
14,0.8557880108281821,2026-04-04 10:38:08.236978,2026-04-04 10:38:08.577052,0 days 00:00:00.340074,0.8042900291489747,0.09801980155020319,5,158,0.9368431198958395,COMPLETE
15,0.8560552411007687,2026-04-04 10:38:08.577334,2026-04-04 10:38:09.195917,0 days 00:00:00.618583,0.8096785993235401,0.09908696623769005,5,294,0.9540988370165996,COMPLETE
16,0.855287858828298,2026-04-04 10:38:09.196183,2026-04-04 10:38:09.822987,0 days 00:00:00.626804,0.8684095805588516,0.09042743289903798,5,300,0.938662210025244,COMPLETE
17,0.853248454667844,2026-04-04 10:38:09.823264,2026-04-04 10:38:10.455406,0 days 00:00:00.632142,0.9374213189972753,0.020111585095657195,5,300,0.9424198103341493,COMPLETE
18,0.8579026911217592,2026-04-04 10:38:10.455677,2026-04-04 10:38:10.868814,0 days 00:00:00.413137,0.823050908850969,0.09610902237402918,5,195,0.9973043105718121,COMPLETE
19,0.8555999652571693,2026-04-04 10:38:10.869089,2026-04-04 10:38:11.300461,0 days 00:00:00.431372,0.8654284627540499,0.06589487941719441,5,201,0.983956858045598,COMPLETE
20,0.8564760636372848,2026-04-04 10:38:11.300729,2026-04-04 10:38:11.875542,0 days 00:00:00.574813,0.814835995748943,0.04066866873014908,5,272,0.9931799396785234,COMPLETE
21,0.8569989432389004,2026-04-04 10:38:11.875819,2026-04-04 10:38:12.439664,0 days 00:00:00.563845,0.8255782572133099,0.042266659464835724,5,266,0.9631075052476595,COMPLETE
22,0.8563327494607624,2026-04-04 10:38:12.439919,2026-04-04 10:38:13.055176,0 days 00:00:00.615257,0.8437813252386487,0.04170123411685755,5,270,0.9974087705747819,COMPLETE
23,0.8520651717598691,2026-04-04 10:38:13.055450,2026-04-04 10:38:13.578229,0 days 00:00:00.522779,0.8882259479844903,0.02331455028505322,5,245,0.9997674943817246,COMPLETE
24,0.8550746247050478,2026-04-04 10:38:13.578501,2026-04-04 10:38:14.113015,0 days 00:00:00.534514,0.8252444369938887,0.042725428536765406,4,279,0.9106441761945978,COMPLETE
25,0.8521513050275772,2026-04-04 10:38:14.113282,2026-04-04 10:38:14.565437,0 days 00:00:00.452155,0.8681573607098161,0.0267719020329384,5,203,0.9713908159720797,COMPLETE
26,0.8539334674792629,2026-04-04 10:38:14.565717,2026-04-04 10:38:15.018498,0 days 00:00:00.452781,0.7809608972024554,0.04262541981622135,4,248,0.9133855708101682,COMPLETE
